,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,new norfolk,54,AU,1582695237,66,-42.78,147.06,62.01,14.99
1,kapaa,75,US,1582695237,78,22.08,-159.32,77.0,17.22
2,mehamn,52,NO,1582695237,67,71.04,27.85,19.4,12.75
3,corrientes,12,AR,1582695046,88,-27.48,-58.83,71.01,8.05
4,srednekolymsk,0,RU,1582695237,88,67.45,153.68,-13.02,9.17
5,ahipara,0,NZ,1582695237,77,-35.17,173.17,68.18,11.45
6,kavaratti,40,IN,1582695237,74,10.57,72.64,84.2,4.7
7,henties bay,6,NA,1582695237,87,-22.12,14.28,71.01,1.01
8,vaini,40,TO,1582695237,74,-21.2,-175.2,84.2,4.7
9,atuona,35,PF,1582695238,72,-9.8,-139.03,82.09,11.16
10,oktyabrskiy,98,RU,1582695238,95,54.48,53.47,30.58,11.72
11,yellowknife,75,CA,1582695087,77,62.46,-114.35,-2.0,5.82
12,punta arenas,20,CL,1582694939,76,-53.15,-70.92,55.4,29.97
13,vaitape,16,PF,1582695238,71,-16.52,-151.75,82.47,6.17
14,tuktoyaktuk,5,CA,1582695238,74,69.45,-133.04,-25.6,3.36
15,jamestown,90,US,1582695206,80,42.1,-79.24,35.6,6.93
16,cesvaine,99,LV,1582695238,91,56.97,26.32,34.03,8.12
17,bluff,76,NZ,1582695238,68,-46.6,168.33,65.41,4.9
18,oudtshoorn,11,ZA,1582695238,88,-33.59,22.2,62.6,5.82
19,northam,99,GB,1582695238,78,51.03,-4.22,41.0,18.01
20,hobart,70,AU,1582695002,66,-42.88,147.33,62.01,14.99
21,kendari,96,ID,1582695239,89,-3.94,122.5,81.27,2.95
22,cape town,20,ZA,1582695035,93,-33.93,18.42,69.01,1.12
23,rikitea,100,PF,1582695239,70,-23.12,-134.97,80.17,6.08
24,damara,40,CF,1582695239,94,4.96,18.7,75.2,2.24
25,iqaluit,5,CA,1582695239,60,63.75,-68.51,-29.0,16.11
26,ous,100,RU,1582695239,90,60.91,61.52,21.65,11.01
27,klaksvik,83,FO,1582695239,80,62.23,-6.59,35.6,13.87
28,port alfred,1,ZA,1582695239,84,-33.59,26.89,73.0,1.99
29,leningradskiy,100,RU,1582695239,83,69.38,178.42,-13.16,7.38
30,vestmannaeyjar,0,IS,1582695239,58,63.44,-20.27,31.66,8.34
31,kismayo,100,SO,1582695240,81,-0.36,42.55,83.66,15.1
32,butaritari,100,KI,1582695240,86,3.07,172.79,78.94,12.35
33,borogontsy,95,RU,1582695240,90,62.67,131.17,1.76,3.09
34,petropavlovsk-kamchatskiy,100,RU,1582695240,51,53.05,158.65,35.6,6.71
35,ponta do sol,20,PT,1582695240,72,32.67,-17.1,59.0,14.99
36,okhotsk,0,RU,1582695240,77,59.38,143.3,3.78,11.12
37,thinadhoo,100,MV,1582695240,80,0.53,72.93,83.28,15.82
38,yulara,13,AU,1582695240,13,-25.24,130.99,104.0,18.34
39,paamiut,0,GL,1582695240,55,61.99,-49.67,1.8,11.12
40,chokurdakh,100,RU,1582695240,95,70.63,147.92,-0.29,18.81
41,vanimo,47,PG,1582695241,71,-2.67,141.3,85.39,8.48
42,mar del plata,14,AR,1582695089,87,-38.0,-57.56,57.0,6.93
43,ixtapa,75,MX,1582695241,78,20.7,-105.2,73.99,2.24
44,bredasdorp,30,ZA,1582695241,82,-34.53,20.04,64.99,5.82
45,salta,90,AR,1582695189,93,-24.79,-65.41,68.0,3.36
46,jiaonan,0,CN,1582695241,39,35.88,119.98,50.0,15.66
47,sorong,94,ID,1582695241,78,-0.88,131.25,85.19,6.42
48,luderitz,0,NA,1582695241,100,-26.65,15.16,62.6,6.93
49,nikolskoye,100,RU,1582695241,74,59.7,30.79,28.4,13.42
50,naze,40,JP,1582695242,73,28.37,129.48,71.6,10.29
51,adamovka,100,RU,1582695242,98,51.52,59.94,33.06,17.49
52,seoul,90,KR,1582695143,45,37.57,126.98,51.8,3.36
53,cherskiy,0,RU,1582695242,93,68.75,161.3,-20.24,6.35
54,dolinsk,40,RU,1582695242,49,47.35,142.8,24.8,2.24
55,mabamba,100,TZ,1582695242,94,-3.6,30.5,65.75,1.72
56,lebu,0,CL,1582695242,83,-37.62,-73.65,51.06,4.76
57,kurten,75,DE,1582695242,69,51.05,7.27,39.2,20.8
58,alyangula,90,AU,1582695242,74,-13.85,136.42,86.0,11.41
59,blackwater,56,AU,1582695242,50,-23.58,148.88,89.53,1.39
60,albany,90,US,1582695243,69,42.6,-73.97,39.2,5.82
61,aloleng,27,PH,1582695243,30,16.13,119.78,92.71,6.64
62,tiksi,60,RU,1582695243,83,71.69,128.87,8.83,23.76
63,avarua,100,CK,1582695243,83,-21.21,-159.78,80.6,4.7
64,sai buri,20,TH,1582695243,70,6.7,101.62,86.0,9.17
65,khatanga,96,RU,1582695243,77,71.97,102.5,13.64,14.16
66,pevek,5,RU,1582695243,92,69.7,170.31,-18.8,1.03
67,olafsvik,98,IS,1582695243,76,64.89,-23.71,27.36,32.99
68,ushuaia,75,AR,1582695243,87,-54.8,-68.3,50.0,32.21
69,flinders,75,AU,1582695243,24,-34.58,150.86,93.2,18.34
70,mataura,83,NZ,1582695244,74,-46.19,168.86,72.07,3.74
71,saskylakh,89,RU,1582695244,72,71.92,114.08,8.2,9.98
72,the pas,20,CA,1582695244,77,53.83,-101.25,-0.4,3.36
73,lorengau,32,PG,1582695244,67,-2.02,147.27,85.01,3.69
74,chuy,20,UY,1582695244,76,-33.7,-53.46,58.42,4.29
75,saint-philippe,100,RE,1582695244,74,-21.36,55.77,84.2,10.29
76,kaputa,100,ZM,1582695244,93,-8.47,29.66,66.47,1.68
77,waddan,34,LY,1582695244,28,29.16,16.14,56.66,3.65
78,lethem,14,GY,1582695244,66,3.38,-59.8,78.31,14.41
79,port elizabeth,0,ZA,1582695085,60,-33.92,25.57,73.4,9.17
80,kaitangata,57,NZ,1582695244,77,-46.28,169.85,64.99,25.48
81,marawi,96,PH,1582695245,78,8.0,124.29,84.0,8.99
82,barrow,1,US,1582695245,67,71.29,-156.79,-25.6,10.29
83,naples,40,IT,1582695041,87,40.83,14.25,55.99,8.05
84,samarai,67,PG,1582695245,67,-10.62,150.67,85.78,5.68
85,puerto ayora,10,EC,1582695245,100,-0.74,-90.35,79.0,3.0
86,torbay,90,CA,1582695245,92,47.67,-52.73,32.0,9.17
87,upernavik,0,GL,1582695245,70,72.79,-56.15,-19.44,4.05
88,hondo,75,JP,1582695245,63,32.45,130.2,60.8,14.99
89,jumla,35,NP,1582695245,73,29.27,82.18,41.79,4.12
90,chumikan,100,RU,1582695245,69,54.72,135.31,19.54,13.13
91,serdobsk,0,RU,1582695245,88,52.46,44.22,22.19,8.5
92,qaanaaq,88,GL,1582695246,61,77.48,-69.36,-15.86,5.48
93,hithadhoo,100,MV,1582695029,78,-0.6,73.08,83.46,13.22
94,severo-kurilsk,100,RU,1582695246,93,50.68,156.12,24.26,8.03
95,viransehir,0,TR,1582695246,40,37.24,39.76,47.75,11.9
96,ostrovnoy,100,RU,1582695238,85,68.05,39.51,24.03,11.68
97,arraial do cabo,88,BR,1582695246,87,-22.97,-42.03,76.6,21.16
98,lompoc,1,US,1582695011,62,34.64,-120.46,59.0,4.7
99,kodiak,90,US,1582695185,80,57.79,-152.41,35.6,13.87
100,chara,0,RU,1582695246,61,56.91,118.26,9.32,0.98
101,cidreira,100,BR,1582695246,88,-30.18,-50.21,74.17,7.11
102,casino,0,AU,1582695246,46,-28.87,153.05,89.6,6.93
103,buchanan,20,LR,1582695246,94,5.88,-10.05,75.2,4.7
104,souillac,75,MU,1582695247,88,-20.52,57.52,78.8,13.87
105,sao jose da coroa grande,32,BR,1582695247,79,-8.9,-35.15,81.32,11.72
106,nargana,29,PA,1582695247,79,9.44,-78.59,79.29,7.36
107,palana,77,RU,1582695247,88,59.12,159.97,14.63,4.36
108,tasiilaq,100,GL,1582695247,66,65.61,-37.64,10.4,6.4
109,la rioja,87,ES,1582695247,61,42.25,-2.5,46.4,12.75
110,kruisfontein,11,ZA,1582695247,45,-34.0,24.73,73.36,12.75
111,leh,0,IN,1582695247,55,34.17,77.58,5.38,2.19
112,santa maria,85,BR,1582695247,80,-29.68,-53.81,63.9,7.67
113,clyde river,90,CA,1582695247,75,70.47,-68.59,-14.8,17.22
114,orsk,90,RU,1582695248,93,51.2,58.57,32.0,15.66
115,maningrida,92,AU,1582695248,71,-12.07,134.27,84.34,18.32
116,gizo,86,SB,1582695248,77,-8.1,156.84,80.73,3.96
117,hermanus,13,ZA,1582695248,93,-34.42,19.23,64.99,6.31
118,kysyl-syr,40,RU,1582695248,94,63.9,122.76,7.66,3.44
119,tiznit,0,MA,1582695248,29,29.58,-9.5,51.04,1.34
120,pangnirtung,4,CA,1582695248,93,66.15,-65.71,-30.78,2.51
121,nanortalik,100,GL,1582695248,57,60.14,-45.24,21.11,5.55
122,busselton,41,AU,1582695248,40,-33.65,115.33,80.01,10.11
123,kirakira,100,SB,1582695149,73,-10.45,161.92,81.79,2.33
124,jalu,0,LY,1582695249,44,29.03,21.55,58.39,8.14
125,kodinsk,96,RU,1582695249,86,58.69,99.18,20.86,3.27
126,saldanha,0,ZA,1582695249,83,-33.01,17.94,65.1,5.06
127,half moon bay,20,US,1582695249,58,37.46,-122.43,61.0,4.21
128,urusha,0,RU,1582695249,79,54.05,122.9,23.83,5.06
129,comodoro rivadavia,38,AR,1582695113,43,-45.87,-67.5,71.6,13.87
130,doha,51,QA,1582695001,46,25.29,51.53,72.0,13.87
131,nobeoka,68,JP,1582695249,53,32.58,131.67,66.02,3.31
132,isangel,75,VU,1582695249,70,-19.55,169.27,86.0,9.53
